target_domain,ip_address,provider,organization,data_center_location,lat,lon,university_name,campus_lat,campus_lon
dur.ac.uk,75.2.69.134,"Amazon.com, Inc.",AWS Global Accelerator (GLOBAL),"Seattle, United States",47.4815,-122.246,University of Durham,54.7887211,-1.5931807
edgehill.ac.uk,104.18.21.53,"Cloudflare, Inc.","Cloudflare, Inc.","Toronto, Canada",43.6532,-79.3832,Edge Hill University,53.5581225,-2.8687914
ed.ac.uk,129.215.97.20,University of Edinburgh,The University of Edinburgh,"Edinburgh, United Kingdom",55.9495,-3.1983,University of Edinburgh,55.9440765,-3.1883736
eselondon.ac.uk,62.182.18.75,Sub 6 Limited,JH Managed Server Infrastructure2,"London, United Kingdom",51.5072,-0.127586,European School of Economics,,
essex.ac.uk,20.90.134.18,Microsoft Corporation,Microsoft Azure App Service (uksouth),"City of London, United Kingdom",51.5113,-0.079212,University of Essex,51.8773639,0.9498751
ex.ac.uk,144.173.112.69,Exeter University,University of Exeter Academic Services,"Teignmouth, United Kingdom",50.5455,-3.4911,University of Exeter,50.1701604,-5.1241802
falmouth.ac.uk,104.25.193.22,"Cloudflare, Inc.","Cloudflare, Inc.","Toronto, Canada",43.6532,-79.3832,Falmouth University,50.1489643,-5.0704472
gcal.ac.uk,193.62.226.15,Jisc Services Limited,Glasgow Caledonian University,"Glasgow, United Kingdom",55.867,-4.2621,Glasgow Caledonian University,55.8674664,-4.2502454
gla.ac.uk,130.209.34.134,Glasgow University,,"Glasgow, United Kingdom",55.8306,-4.2593,University of Glasgow,55.8716587,-4.2883961
glos.ac.uk,150.171.109.200,Microsoft Corporation,Microsoft Corporation,"Nairobi, Kenya",-1.29207,36.8219,University of Gloucestershire,51.8731804,-2.2239706
gold.ac.uk,45.158.164.160,Compuweb Communications Services Limited,Cwcs Managed Hosting,"London, United Kingdom",51.5072,-0.127586,"Goldsmiths College, University of London",,
gre.ac.uk,193.37.244.176,Jisc Services Limited,University of Greenwich,"City of London, United Kingdom",51.4843,-0.0043171,University of Greenwich,51.4825423,-0.0066531
gsa.ac.uk,198.202.211.1,"Cloudflare London, LLC","Webflow, Inc","San Francisco, United States",37.7708,-122.413,Glasgow School of Art,55.8663077,-4.2639001
herts.ac.uk,43.245.41.78,Squiz Pty Ltd,Squiz hosting,"Sydney, Australia",-33.8718,151.205,University of Hertfordshire,51.7517443,-0.2390498
heythrop.ac.uk,128.86.237.41,Jisc Services Limited,Jisc Services Limited,"City of London, United Kingdom",51.5153,-0.10931,"Heythrop College, University of London",,
hope.ac.uk,194.81.34.162,Jisc Services Limited,Liverpool Hope University,"Liverpool, United Kingdom",53.3972,-2.897,Liverpool Hope University College,,
hud.ac.uk,15.197.200.147,"Amazon.com, Inc.",AWS Global Accelerator (GLOBAL),"Montreal, Canada",45.5019,-73.5674,University of Huddersfield,53.6429919,-1.7780783
hull.ac.uk,150.237.12.80,University of Hull,University of Hull,"Hull, United Kingdom",53.8006,-0.3696,University of Hull,53.7732507,-0.3670415
hw.ac.uk,75.2.42.62,"Amazon.com, Inc.",AWS Global Accelerator (GLOBAL),"Seattle, United States",47.4815,-122.246,Heriot-Watt University,55.9102959,-3.3234475
imperial.ac.uk,146.179.12.148,Imperial College London,"Imperial College of Science, Technology and Medicine","Kensington, United Kingdom",51.5005,-0.1905,Imperial College London,51.4989595,-0.1756407
ioe.ac.uk,193.60.253.25,Jisc Services Limited,University College London,"Northwood, United Kingdom",51.6143,-0.4188,"Institute of Education, University of London",51.5230684,-0.1280751
kcl.ac.uk,137.73.130.135,Jisc Services Limited,King's College London,"London, United Kingdom",51.5115,-0.115997,"King's College London, University of London",51.5052366,-0.1115945
keele.ac.uk,13.248.206.140,"Amazon.com, Inc.",AWS Global Accelerator (GLOBAL),"Montreal, Canada",45.5019,-73.5674,Keele University,53.0016756,-2.2706942
kingston.ac.uk,104.22.35.238,Cloudflare,"Cloudflare, Inc.","Montreal, Canada",45.5019,-73.5674,Kingston University,51.4030739,-0.3032181
